texts, polarity, subjectivity
If you’re not speaking against the stupidity that is then you’re in support of it.,-0.6,1
Btw^ the xenophobia and gender based violence (in South Africa) are two sides of the same coin. They are connected^ part of th…,0,0.125
I'm sorry if I thought the hashtag was tackling every type of a xenophobia I did not know w…,-0.5,1
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
I think Burna boy is Right in defending his country but those tweets from AKA was purely about football and nothing to…,0.25,0.517857143
Nigeria is South Africa and South Africa is Nigeria. In th midst of all the BS^ Malema is still making sense.,0,0
"@ancestralgod: MUST WATCH!!! I just came across this on IG. What exactly did Nigerians do to south Africans?,0.25,0.25
Shout out to for speaking out first!,0.3125,0.3333333333333333
This kid almost brought me to tears. He talked about his friend that pa",0,0
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
Between 1960 to 1995 Nigeria donated over 61 million dollars to South Africa to fight apartheid. All…,0,0
VIDEO: Angry mob breaks into PEP store in Lagos^ steal clothes 📹:,-0.5,1
2017 video of a South African Pastor angry that Nigerians are coming in a swinging their big big penis about^ and offering p…,-0.125,0.3
You see how the world is silent about this xenophobia going on in SA😢😢nobody is praying for Nigerians 😢😢They want us to…,0,0.1
Meanwhile,0,0
Nigerians have started retaliating in South Africa. I heard Yoruba on the Background. This madness needs to stop!,0,0
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
Look at the extent of damage and looting inflicted on Surulere mall by some senseless Nigerians. I am ashamed of these ani…,0,0
The president of Ghana came out and strongly condemned Xenophobia in the strongest terms. When will the President of N…,0.433333333,0.733333333
If you're a Nigerian and you're yet to condemn what's happening in South Africa^ excuse me sir/ma you're a DIRTY C…,-0.325,0.425
She’s only apologising Cos of the damage it will bring to her account. Please don’t fall for it. Retweet if you see this on…,0,1
Feeding a starving dog is an act of generosity. So sad it repays with barks. Nigeria used it resources to stabilise…,-0.5,1
The danger of misinformation: It has the ability to create wars. No Nigerian foreign national was killed this week in…,-0.1625,0.0625
Xenophobia in this country disgusts me. I have never been more ashamed to be a citizen of this country.,0.5,0.5
I'm just looking at the things happening in South Africa and all I can say is wow 🙃. Like how can so many kinds of evil exis…,-0.133333333,0.833333333
The one who killed his brother is not a warrior. - Igbo Proverb,-0.2,0
"Someone once went to Ibadan to ask the then sitting governor 'why are your pipo killing my pipo""? But can he go to SA gov…",0,0
"My South African brothers come let's discuss our issues here. Topic: ""Xenophobia of the 1950s still poke-nose in 2019""",0,0
How you get mad at your kin at the thought of them trying to make a living? 2019 and xenophobia still?,-0.625,1
SA isn’t better than us on this note^no good leaders would encourage xenophobia^we are all victims until we can have one v…,0.6,0.55
This kid almost brought me to tears. He talked about his friend that passed away due to the Xenophobia attacks in South A…,-0.125,0.375
Listen to this old man...we need leaders like him in our country.✊✊,0.1,0.2
i’m really glad nigerian celebrities are using their platform to call out xenophobia and that some sort of cultural protest is…,0.3,0.55
DSTV^ GoTV^ BBNaija^ MTN^ Shoprite^ all the SA products and services I know I'll try my best to boycott all^ dat's the best…,1,0.3
I stopped being bothered when people addressed Africa as a country a long time ago^ because what is better than being…,0.225,0.45
Meanwhile Khafi is d live-wire of this show whether you like it or not 😁stan or no stan...she didn’t ask to av a fa…,0,0
Look at the extent of damage and looting inflicted on Surulere mall by some senseless Nigerians. I am ashamed of these ani…,0,0
What is your reaction to the recent in South Africa? Share your views.,0,0.25
Perhaps^ yall need to watch n share this,0,0
I don’t rate South African men at this point ... and I’m not trying to create any form of animosity between us and them (that…,0,0
Are you Comparing jollof war to Xenophobia ?,0,0
Btw^ the xenophobia and gender based violence (in South Africa) are two sides of the same coin. They are connected^ part of th…,0,0.125
The problem isn’t that Mexico isn’t paying or that the military is “sacrificing” money to build it.…,-0.1,0.1
Who owns the Shoprite/MTN franchise? Nigerians! Who can't resume to work tomorrow? Nigerians! Who won't be able to feed thei…,0.5,0.625
Sir the strongly-worded letter you intend to write to about the,0,0
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
Sleep well after the xenophobia.,0,0
Look at one South African that has sense,0,0
The truth is complicated. More than one thing can be true at once. But that’s not what we want. Right now you can’t…,0.158928571,0.671428571
"Received a call now quite long from a friend in Pretoria^ South Africa. ""those indigenes are killing our people from hous…",-0.05,0.4
Live and let’s live^ don’t take the live you didn’t give^ let love lead! Stop xenophobia South Africa,0.258522727,0.525
Perhaps^ yall need to watch n share this,0,0
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
Xenophobia in this country disgusts me. I have never been more ashamed to be a citizen of this country.,0.5,0.5
This is our women in South Africa! Heartbreaking,0,0
those burnt yesterday could have been my uncle^ I don't think I'd be watching TV if it had affected my family…,0,0
It's Only In South Africa That An illiterate Villager Thinks A Qualified Medical Doctor From Another African Country is T…,0,0.333333333
Insecurity within Nigeria and outside the country^ Nigerians are treated this way because of the failures of our greedy lead…,0,0.05
In a few weeks we'll commence filing cases against the Republic of South Africa and its Government Officials^ for State-spons…,-0.2,0.1
"Those of you writing ""Say no to Xenophobia"" on your whatsapp status^ do you even have South Africans on your contact list?…",0,0
Xenophobia: Angry mob storm Shoprite in Lagos^ threaten to burn down^ destroy mall,-0.285185185,0.42962963
In Kenya^ there is an estate that we nicknamed 'Small Lagos'. It's full of Nigerians. A few sell drugs^ sell…,-0.033333333,0.35
We underestimate the fragility of the line between patriotism and xenophobia &amp; we put group before morals^ sad tbh,-0.5,1
VICE PRESIDENT SPEECH ON XENOPHOBIA please dont forget to follow to get more update.,0.5,0.5
She’s only apologising Cos of the damage it will bring to her account. Please don’t fall for it. Retweet if you see this on…,0,1
Linda Ikeji &amp; Kemi Olunloyo are the same; Hypocritical baby mama &amp; controversialist Toke Makinwa ^ Kate Henshaw ^ Dre…,0,0.125
If you're a Nigerian or Nigerian business who had planned to be at the Wolrd Economic Forum Africa between the 4th an…,0.2,0.2
Omashola should be evicted from the bb house. He knows abt this attacks but he's not making any conscious effort to…,0.1,0.5
Prepaid President laid the foundation for xenophobia during his Y r we acting surprised? It…,0.05,0.45
That Trevor Noah’s statement was actually stupid. So the anger of xenophobia South Africans is justified^ but again…,-0.366666667,0.7
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
My one man peaceful protest at their Surulere store this morning^ against,0.25,0.5
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
It is okay to be short of words^ speechless^ confused and frustrated about this matter. Be you a celebrity or re…,-0.15,0.425
My bro7. I want to congratulate a brother friend and billionaire for that I’ll be giving out 200k to 5 different…,0,0
My dear South Africans^ Xenophobia will never stop or scare migrants into your country. When it rains^ it falls on al…,0,0
NO ! TO XENOPHOBIA . THE REAL FOREIGNERS ARRIVED HERE WHEN JAN VAN FUCKING REEBECK CAME TO THIS COUNTRY... BUT THEY H…,-0.2,0.55
This tweet isn't going to be about weed. I don't care how many followers I'd lose -I never cared either ways but this b…,0.5,0.5
Sadly^ I’m currently in South Africa and none of their major news outlets are covering their blatant xenophobia and monstrou…,-0.145833333,0.466666667
Xenophobia: Nigerians Retaliate On South African Firms In The Country,0,0
In South Africa they do this to their wives and women. What breaks my heart is that someone stood there recording n watchi…,0,0
Cant disagree with on this^ although I'll also add the current president of SA millionaire businessman Ramapho…,0,0.4
MTN office at bode Thomas Lagos Nigeria,0,0
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
SAY NO TO for awareness.,0,0
(Xenophobia)....THIS IS DEEP!!!....Please retweet this(very important) hopefully it will get to the right authorities in Nige…,-0.021428571,0.845238095
Nigerians are commissioned to raise every issue of Africa? Or have we been silencing everyone else concerning other matters?…,-0.125,0.375
Life of a Nigerian raised abroad. Abroad: Nigerians go home^ we don't want you!!! Nigeria: Go back!!! you are not Nig…,0,0
Dear South Africans^ In case you don’t know your history: Mandela was hidden in Nigeria from the apartheid Govt for 6 months…,-0.166666667,0.333333333
I Seriously wish Buhari is Alive to witness what's going on to Nigerians in South Africa and what happened to Protesters in…,-0.116666667,0.533333333
If you’re not speaking against the stupidity that is then you’re in support of it.,-0.6,1
SA women joining their men to oppress foreigners are the biggest clowns. They bond over xenophobia and attack foreigners as a…,0,0
When the enemy of your enemy becomes your friend😂😂😂,0,0
I don’t rate South African men at this point ... and I’m not trying to create any form of animosity between us and them (that…,0,0
SAY NO TO for awareness.,0,0
has crossed the boundary of sanity this time. They've gone beyond the point of no return and nothing will fix…,0,0
Your people are attacking our Nigerian and Zimbabwean brothers and sisters. We will not visit. The culture of xenophobia ma…,0,0
I am saddened by the stories and videos coming out of South Africa. I’ve also read reports that the Nigerian embassy in…,0,0
This young man here has more wisdom than most adults in South Africa. Especially .. TL:,0.275,0.6
I don't blame you 4 that i would be 2 if... This happe…,0,0
- Vandalization of MTN office in Uyo^ Akwa Ibom^ begins as protesters attack all the properties in the office at the m…,0,0
Xenophobia: ‘Our Brothers And Sisters Do Not Deserve This’- Twitter Agog Over South Africa Violence,0,0
What is the native language equivalent for “xenophobia” in African traditional languages? Awan ode.,0,0.375
Nelson Mandela will be disappointed in South Africa.,-0.75,0.75
Leader says President silence is exacerbating xenophobia more than utteran…,0.5,0.5
What is Buhari doing about the xenophobia?,0,0
There's a demon that's not only dividing our country with xenophobia but it also dividing us by genders.💔💔,0,1
This is just like you pitching the kids in Somalia to go kill the other kids in Uganda beca…,-0.125,0.375
Say no to Xenophobia 💪🏿,0,0
He said he ‘lived’ there for sometime which means he isn’t there anymore. Has reading become a S…,0,0
People say why are celebrities not speaking out loud about the issue. Well remember when you people alw…,0.1,0.8
Anytime he opened his eyes to behold what was around him^ he closed them again and silently wished he were blind.…,-0.05,0.1
This will not end well. Looks like Nigerians are now retaliating in If there is leadership in this coun…,0,0
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
(Xenophobia)....THIS IS DEEP!!!....Please retweet this(very important) hopefully it will get to the right authorities in Nige…,-0.021428571,0.845238095
During the apartheid era in Nigeria was one of the foremost supporters of anti-apartheid movements. The Nigeri…,0,0
Xenophobia: Nigerian mission in South Africa gives update,0,0
Just received reports of reprisal attacks at Shoprite in Lekki^ Lagos state. I know as Nigerians we are offended at the…,0,0
There are actually some educated illiterates that agree with Xenophobia. Na God go punish una! The heroes and legends you w…,0,0.1
,0,0
Vector has cancelled his South Africa tour because of this xenophobia BS 🙌🏻 how many times will i Stan today? 😩 i reStan…,0.5,0.5
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
She’s only apologising Cos of the damage it will bring to her account. Please don’t fall for it. Retweet if you see this on…,0,1
Man’s talking about stopping you’re worried about his Grammy.,0,0
🎥: Listen to this Professor explain the history of Xenophobia earlier this year when Malawi citizens were attacked in S…,0,0.5
One of the reasons why I will always choose Wizkid over Davido any time ..common sense over politics..🤗🤗,0,0
Ma^ everything is linked. Xenophobia is an ideological thing and ideologies don't grow in a day. D…,0,0
See Nigeria Turning Upside down... Ejor what has pep done? Ya'll see how we are doing ourselves? Some people might Just…,-0.155555556,0.288888889
Dear Nigerian leaders^ when your escorts slap us on the road and SARS officers shoot us dead while police brutality is use…,-0.2,0.4
We can not be foreigners in our own land ~ Chairman^ Somali Community in South Africa tells fellow Africans,0.6,1
🎥: Listen to this Professor explain the history of Xenophobia earlier this year when Malawi citizens were attacked in S…,0,0.5
The spirit has been awaken. A fearlessness to dare. I saw the energy and the awakening in Nigerians today at S…,0,0
After this xenophobia clean up is over^ we are going to donate Toke Makinwa^ MI Abaga and Kate Henshaw to South Africa.…,0.366666667,0.7
powerful message. So touching 💔💔💔,0.4,0.75
Long ago the 2 nations lived together with each others problems^ then everything changed when xenophobia attacked^…,-0.05,0.4
PEP Stores Bode Thomas outlet Surulere being looted earlier this evening. Sordid &amp; sad sight IMO!!!,-0.48828125,0.75
This actually makes sense now,0,0.1
The one who killed his brother is not a warrior. - Igbo Proverb,-0.2,0
Some Nigerians have started looting shops around Surulere^ at least the ones I've seen (PEP stores) Some of the people…,-0.3,0.4
During the apartheid era in Nigeria was one of the foremost supporters of anti-apartheid movements. The Nigeri…,0,0
Peruzzi to AKA - Come to Nigeria Burna boy to AKA - Next time I see you^ you’d need security Nigerians to AKA - Come to…,0,0
But really tho as a person everything that describes me is just so discriminated against. I am a female I am black I am an Af…,0.011111111,0.266666667
Someone said Shatta Wale doesn't understand the word 'Xenophobia' like he tweet already. 😂,0,0
I'm almost certain that most of the people who vandalized^ looted and wreaked havoc today on Lagos streets^ can't spell xen…,0.357142857,0.535714286
🎥: Listen to this Professor explain the history of Xenophobia earlier this year when Malawi citizens were attacked in S…,0,0.5
Xenophobia - homophobia I still don't understand how you think SMH,0,0
South Africans are known for bickering and xenophobia. They've always had this issue with Nigerians. In 2007^ Ico…,0,0
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
When people are not sure about their future^ when their economies are suffering^ when their personal fortunes are flagging…,-0.083333333,0.437962963
I'm almost certain that most of the people who vandalized^ looted and wreaked havoc today on Lagos streets^ can't spell xen…,0.357142857,0.535714286
Xenophobia: Don’t Attack South African Businesses^ Nigerian Govt Urges Citizens,0,0
There is no justification whatsoever to taking a human life. South Africans should employ legal mechanisms to deal with…,0.1,0.15
"@gidifeedtv: Nelson Mandela thanking Nigeria for fighting against apartheid. Nigeria gave black South Africans free educ…,0.11666666666666668,0.6166666666666667
powerful message. So touching 💔💔💔,0.4,0.75
We are not fighting them..we don kill ",0,0
In our stance against we extend a hand of love to helping Nigerians in South Africa willing to return home^ a…,0.375,0.675
(Xenophobia)....THIS IS DEEP!!!....Please retweet this(very important) hopefully it will get to the right authorities in Nige…,-0.021428571,0.845238095
Imagine serving 27 years in prison for south Africans? Mandela really played himself!,0.25,0.2
If you’re not speaking against the stupidity that is then you’re in support of it.,-0.6,1
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
“Boycotting South African Businesses Not Solution To Xenophobia” – Ycee,0,0
There can be no justification for any South African to attack people from other countries. These…,-0.0625,0.1875
Tomorrow at 13 people are gathering at Crossroads Mall to march to the S.A. Embassy in a peaceful protest to show displeas…,0.25,0.5
Dear Nigerian leaders^ when your escorts slap us on the road and SARS officers shoot us dead while police brutality is use…,-0.2,0.4
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
There are actually some educated illiterates that agree with Xenophobia. Na God go punish una! The heroes and legends you w…,0,0.1
Rape ka mo^ murder ka kwa^ xenophobia and looting over there^ cars^ people and buildings are being burnt. What the fuck.,-0.4,0.6
I think Burna boy is Right in defending his country but those tweets from AKA was purely about football and nothing to…,0.25,0.517857143
There are actually some educated illiterates that agree with Xenophobia. Na God go punish una! The heroes and legends you w…,0,0.1
There are actually some educated illiterates that agree with Xenophobia. Na God go punish una! The heroes and legends you w…,0,0.1
The xenophobia attacked caused by south Africa people to their fellow blacks it shows that a native of south Africa is lazy^ ar…,-0.25,1
Xenophobia: We’ve Made Concrete Proposal To South African Government^ Says Nigeria’s Foreign Affairs Minister…,0.008333333,0.141666667
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
Stop killing yourselves^ stop fighting at all,0,0
Even in xenophobia moments you people still want mention ^ but hate to admit he's your biggest nightmare and head…,-0.8,0.9
Happening Now: Angry women disrupt sales at Shoprite Lekki in retaliation to the ongoing,-0.5,1
PEP Stores Bode Thomas outlet Surulere being looted earlier this evening. Sordid &amp; sad sight IMO!!!,-0.48828125,0.75
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
This is a friend's brother in-laws shop being burnt down yesterday. Can you hear the pain in his voice?,-0.155555556,0.288888889
There are actually some educated illiterates that agree with Xenophobia. Na God go punish una! The heroes and legends you w…,0,0.1
By Now^ 20-40 Cargo Planes Would Have Been Sent To South Africa To Bring Nigerians Home By Now^ Two Nigeria Naval W…,0,0
